Sensor 1 Temp in °C , Sensor 1 rH in % , Sensor 2 Temp in °C , Sensor 2 rH in % , Sensor 3 Temp in °C , Sensor 3 rH in % , 
22.62,33.24, 22.62,33.24, 0.00,0.00
22.63,33.24, 22.63,33.24, 0.00,0.00
22.63,33.23, 22.63,33.23, 0.00,0.00
22.64,33.23, 22.63,33.23, 0.00,0.00
22.64,33.23, 22.64,33.26, 0.00,0.00
22.64,33.24, 22.64,33.23, 0.00,0.00
22.65,33.23, 22.65,33.23, 0.00,0.00
22.65,33.23, 22.65,33.23, 0.00,0.00
22.65,33.24, 22.65,33.23, 0.00,0.00
22.65,33.23, 22.66,33.24, 0.00,0.00
22.66,33.23, 22.66,33.23, 0.00,0.00
22.66,33.23, 22.66,33.23, 0.00,0.00
22.66,33.24, 22.67,33.19, 0.00,0.00
22.67,33.24, 22.66,33.27, 0.00,0.00
22.67,33.23, 22.67,33.23, 0.00,0.00
22.67,33.23, 22.67,33.25, 0.00,0.00
22.67,33.23, 22.68,33.23, 0.00,0.00
22.68,33.25, 22.68,33.25, 0.00,0.00
22.67,33.25, 22.68,33.29, 0.00,0.00
22.68,33.23, 22.68,33.23, 0.00,0.00
22.68,33.23, 22.68,33.23, 0.00,0.00
22.69,33.22, 22.69,33.23, 0.00,0.00
22.69,33.23, 22.69,33.23, 0.00,0.00
22.69,33.23, 22.69,33.23, 0.00,0.00
22.69,33.23, 22.69,33.23, 0.00,0.00
22.69,33.23, 22.69,33.23, 0.00,0.00
22.70,33.25, 22.70,33.25, 0.00,0.00
22.70,33.25, 22.70,33.23, 0.00,0.00
22.70,33.24, 22.70,33.24, 0.00,0.00
22.70,33.24, 22.70,33.25, 0.00,0.00
22.70,33.25, 22.71,33.25, 0.00,0.00
22.71,33.25, 22.71,33.28, 0.00,0.00
22.72,33.25, 22.71,33.25, 0.00,0.00
22.71,33.25, 22.71,33.25, 0.00,0.00
22.71,33.25, 22.71,33.25, 0.00,0.00
22.72,33.25, 22.71,33.20, 0.00,0.00
22.72,33.25, 22.72,33.25, 0.00,0.00
22.72,33.25, 22.72,33.25, 0.00,0.00
22.73,33.25, 22.72,33.25, 0.00,0.00
22.72,33.25, 22.72,33.22, 0.00,0.00
22.73,33.25, 22.72,33.25, 0.00,0.00
22.73,33.25, 22.73,33.25, 0.00,0.00
22.73,33.25, 22.73,33.24, 0.00,0.00
22.73,33.26, 22.73,33.25, 0.00,0.00
22.74,33.25, 22.74,33.25, 0.00,0.00
22.74,33.25, 22.74,33.26, 0.00,0.00
22.74,33.25, 22.74,33.23, 0.00,0.00
22.74,33.25, 22.74,33.25, 0.00,0.00
22.74,33.26, 22.74,33.26, 0.00,0.00
22.75,33.25, 22.74,33.26, 0.00,0.00
22.75,33.25, 22.75,33.23, 0.00,0.00
22.76,33.25, 22.75,33.25, 0.00,0.00
22.75,33.25, 22.75,33.25, 0.00,0.00
22.75,33.25, 22.75,33.25, 0.00,0.00
22.75,33.25, 22.75,33.23, 0.00,0.00
22.75,33.25, 22.75,33.25, 0.00,0.00
22.76,33.25, 22.76,33.25, 0.00,0.00
22.76,33.25, 22.76,33.25, 0.00,0.00
22.76,33.26, 22.76,33.26, 0.00,0.00
22.76,33.26, 22.76,33.26, 0.00,0.00
22.76,33.25, 22.76,33.25, 0.00,0.00
22.77,33.26, 22.77,33.26, 0.00,0.00
22.78,33.26, 22.77,33.25, 0.00,0.00
22.77,33.25, 22.77,33.29, 0.00,0.00
22.77,33.25, 22.77,33.26, 0.00,0.00
22.77,33.25, 22.77,33.25, 0.00,0.00
22.77,33.26, 22.77,33.25, 0.00,0.00
22.78,33.26, 22.78,33.23, 0.00,0.00
22.78,33.25, 22.78,33.25, 0.00,0.00
22.78,33.26, 22.78,33.26, 0.00,0.00
22.78,33.26, 22.78,33.26, 0.00,0.00
22.79,33.26, 22.78,33.28, 0.00,0.00
22.78,33.26, 22.78,33.26, 0.00,0.00
22.79,33.26, 22.79,33.26, 0.00,0.00
22.79,33.26, 22.79,33.26, 0.00,0.00
22.79,33.28, 22.79,33.30, 0.00,0.00
22.80,33.27, 22.80,33.27, 0.00,0.00
22.79,33.26, 22.79,33.26, 0.00,0.00
22.79,33.26, 22.80,33.22, 0.00,0.00
22.80,33.27, 22.79,33.27, 0.00,0.00
22.80,33.27, 22.79,33.27, 0.00,0.00
22.80,33.27, 22.79,33.29, 0.00,0.00
22.80,33.27, 22.79,33.27, 0.00,0.00
22.80,33.27, 22.80,33.29, 0.00,0.00
22.80,33.27, 22.80,33.27, 0.00,0.00
22.81,33.28, 22.81,33.27, 0.00,0.00
22.80,33.28, 22.80,33.28, 0.00,0.00
22.81,33.27, 22.81,33.29, 0.00,0.00
22.80,33.28, 22.80,33.28, 0.00,0.00
22.80,33.28, 22.81,33.27, 0.00,0.00
22.81,33.28, 22.81,33.29, 0.00,0.00
22.82,33.27, 22.81,33.27, 0.00,0.00
22.82,33.25, 22.82,33.27, 0.00,0.00
22.81,33.27, 22.81,33.28, 0.00,0.00
22.81,33.27, 22.81,33.27, 0.00,0.00
22.82,33.27, 22.82,33.27, 0.00,0.00
22.82,33.27, 22.82,33.24, 0.00,0.00
22.82,33.27, 22.82,33.27, 0.00,0.00
22.82,33.27, 22.82,33.27, 0.00,0.00
22.82,33.27, 22.82,33.27, 0.00,0.00
22.82,33.28, 22.82,33.27, 0.00,0.00
22.82,33.27, 22.82,33.27, 0.00,0.00
22.83,33.27, 22.83,33.28, 0.00,0.00
22.83,33.28, 22.83,33.27, 0.00,0.00
22.83,33.28, 22.83,33.28, 0.00,0.00
22.83,33.28, 22.83,33.28, 0.00,0.00
22.83,33.27, 22.83,33.27, 0.00,0.00
22.83,33.27, 22.83,33.28, 0.00,0.00
22.83,33.28, 22.83,33.28, 0.00,0.00
22.84,33.27, 22.83,33.33, 0.00,0.00
22.83,33.27, 22.84,33.27, 0.00,0.00
22.84,33.28, 22.83,33.28, 0.00,0.00
22.84,33.28, 22.83,33.27, 0.00,0.00
22.84,33.27, 22.84,33.27, 0.00,0.00
22.84,33.28, 22.84,33.28, 0.00,0.00
22.84,33.27, 22.84,33.27, 0.00,0.00
22.84,33.28, 22.85,33.27, 0.00,0.00
22.84,33.27, 22.84,33.27, 0.00,0.00
22.85,33.28, 22.85,33.25, 0.00,0.00
22.84,33.28, 22.84,33.27, 0.00,0.00
22.85,33.27, 22.85,33.28, 0.00,0.00
22.85,33.28, 22.85,33.28, 0.00,0.00
22.85,33.28, 22.85,33.28, 0.00,0.00
22.85,33.28, 22.85,33.28, 0.00,0.00
22.85,33.28, 22.85,33.28, 0.00,0.00
22.85,33.27, 22.85,33.28, 0.00,0.00
22.86,33.27, 22.85,33.29, 0.00,0.00
22.86,33.28, 22.86,33.28, 0.00,0.00
22.86,33.28, 22.86,33.29, 0.00,0.00
22.86,33.28, 22.86,33.31, 0.00,0.00
22.85,33.28, 22.86,33.28, 0.00,0.00
22.86,33.28, 22.86,33.28, 0.00,0.00
22.86,33.29, 22.87,33.28, 0.00,0.00
22.87,33.28, 22.87,33.27, 0.00,0.00
22.86,33.28, 22.86,33.28, 0.00,0.00
22.86,33.28, 22.86,33.28, 0.00,0.00
22.87,33.28, 22.87,33.25, 0.00,0.00
22.87,33.28, 22.87,33.28, 0.00,0.00
22.87,33.27, 22.87,33.28, 0.00,0.00
22.87,33.28, 22.87,33.27, 0.00,0.00
22.87,33.28, 22.87,33.28, 0.00,0.00
22.87,33.28, 22.87,33.28, 0.00,0.00
22.88,33.27, 22.87,33.27, 0.00,0.00
22.87,33.27, 22.88,33.27, 0.00,0.00
22.87,33.28, 22.87,33.28, 0.00,0.00
22.87,33.27, 22.87,33.28, 0.00,0.00
22.87,33.28, 22.88,33.29, 0.00,0.00
22.87,33.28, 22.87,33.28, 0.00,0.00
22.88,33.27, 22.88,33.28, 0.00,0.00
22.88,33.28, 22.88,33.26, 0.00,0.00
22.88,33.28, 22.88,33.29, 0.00,0.00
22.88,33.28, 22.88,33.27, 0.00,0.00
22.88,33.28, 22.88,33.27, 0.00,0.00
22.88,33.28, 22.89,33.28, 0.00,0.00
22.88,33.28, 22.89,33.32, 0.00,0.00
22.89,33.28, 22.88,33.28, 0.00,0.00
22.88,33.29, 22.89,33.28, 0.00,0.00
22.88,33.28, 22.88,33.27, 0.00,0.00
22.89,33.28, 22.88,33.28, 0.00,0.00
22.88,33.28, 22.88,33.28, 0.00,0.00
22.88,33.29, 22.88,33.29, 0.00,0.00
22.89,33.28, 22.89,33.28, 0.00,0.00
22.89,33.30, 22.88,33.29, 0.00,0.00
22.88,33.28, 22.89,33.30, 0.00,0.00
